> sim2$epi
$s.num
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
44 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
45 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
46 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
47 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
48 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
49 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
50 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
51 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
52 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
53 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
54 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
55 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
56 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
57 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
58 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
59 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
60 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
61 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
62 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
63 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
64 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
65 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
66 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
67 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
68 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
69 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
70 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
71 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
72 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
73 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
74 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
75 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
76 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
77 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
78 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
79 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
80 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000

$si.flow
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
1    NA   NA   NA   NA   NA   NA   NA   NA   NA    NA
2    49   68   48   42   52   47   49   51   46    56
3    63   73   38   45   49   36   41   43   59    60
4    43   51   46   53   51   33   33   50   73    61
5    53   58   64   47   66   29   44   42   69    67
6    68   70   57   36   90   29   42   61   58    73
7    74   88   64   43  106   28   46   69   79    91
8    69   97   79   46  129   26   46   71   73    88
9    69  104   59   62  133   31   55   59   85    84
10   65   97   68   72  123   35   48   68   88   103
11   74   87   72   72  134   39   56   64   98   108
12   77  102   66   95  154   47   53   68  114   118
13   91  105   52   89  149   46   64   69  116   137
14   83  107   56   92  174   32   69   90  114   149
15   99  115   63   75  147   39   71  100  103   145
16   92  115   76   89  163   40   84  113  118   143
17   93  116   75   77  153   57   88  116  131   150
18  109  138   80   77  151   48   70  111  119   129
19   89  134   96   78  169   59   81  132  108   134
20   84  125   82   57  152   62   97  148   99   121
21   84  121   85   69  134   71   97  119   95   131
22   92  104   86   60  121   76  105  120   95   138
23   88   93   83   76  113   74  100   87   72   124
24   82  102   84   72  107   65  105  103   93   127
25   61   94   83   78   83   88   91  107   89   128
26   84   98   75   68   74   68   88  115   83   117
27   74   79   88   72   82   70   87   87   88   100
28   80   90   79   70   53   58   81   78   92    85
29   58   77   74   66   59   83   88   86   98    77
30   55   54   65   85   49   96   80   75   91    53
31   64   64   71   72   34   87   65   58   84    56
32   55   57   67   80   39   91   74   73   92    53
33   43   48   67   80   25   75   54   64   78    53
34   58   52   80   80   25   85   57   59   67    44
35   68   60   71   73   17   95   46   51   54    44
36   62   56   65   67   19   95   52   57   49    24
37   58   53   66   60   14   83   47   54   52    21
38   60   31   63   61   12   92   46   50   65    18
39   57   32   51   65    9   85   50   35   41    12
40   40   31   58   68   14   80   40   34   47    11
41   39   24   61   65   14  101   16   26   32    11
42   46   19   56   59   11   94   18   31   37     4
43   38   23   41   45   11   85   18   19   27     4
44   42   20   39   39    7   81   21   21   31     6
45   33   25   38   38   10   82   14   16   37     3
46   33   18   36   35    6   69   17   18   27     5
47   31   18   20   21    6   63    9   20   28     3
48   35   15   26   36    4   68   13   26   19     7
49   30    7   24   20    6   62    9   28   24     3
50   31    2   19   21    3   49   10   27   17     2
51   28    6    8   16    5   40    8   26   13     4
52   27   12    8   18    2   27    9   29   18     3
53   20    9    8   25    4   29    2   20   12     1
54   21    9    9   16    3   21    2   15   10     2
55   28    6    5   15    3   20    4   20    6     1
56   25    7    2   23    0   22    3   13    6     1
57   25   14    8   12    0   13    1    9    4     0
58   27    9    7    8    1   14    1    8    5     0
59   20    7    2   12    1   10    3    4    7     0
60   12    5    5    9    0    8    1    9    4     0
61    7    9    1    8    1    6    1    5    2     0
62   10    4    5   10    1    3    0    2    2     0
63    7   10    2    9    0    6    0    6    0     0
64   11    6    1   13    0    4    0    2    1     0
65    8    3    0    9    0    4    0    3    0     0
66    7    3    0   15    0    6    0    2    0     0
67   10    4    0    9    0    5    0    1    0     0
68    8    4    0    5    0    3    0    1    0     0
69    7    2    0    3    0    3    0    2    0     0
70    4    3    0    2    0    1    0    4    0     0
71    4    2    0    1    0    1    0    4    0     0
72    2    0    0    1    0    0    0    4    0     0
73    4    0    0    2    0    0    0    6    0     0
74    5    0    0    4    0    0    0    5    0     0
75    4    0    0    6    0    0    0    7    0     0
76    6    0    0    4    0    0    0    3    0     0
77    7    0    0    3    0    0    0    1    0     0
78    2    0    0    2    0    0    0    2    0     0
79    2    0    0    3    0    0    0    1    0     0
80    0    0    0    2    0    0    0    0    0     0

$ir.flow
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
1    NA   NA   NA   NA   NA   NA   NA   NA   NA    NA
2    43   55   51   40   41   49   48   39   39    49
3    63   69   38   47   44   38   46   47   54    58
4    41   55   42   49   50   36   33   52   68    53
5    44   52   52   49   50   33   47   34   57    57
6    69   52   51   36   67   39   37   57   58    56
7    64   75   55   40   77   29   46   66   71    80
8    77   82   73   36  101   24   45   67   66    94
9    55  116   71   42  141   25   45   61   75    77
10   49   89   68   70  112   31   56   65   87    92
11   64   88   62   64  133   27   50   61   84    86
12   84   93   73   88  146   49   51   71  102   104
13   98   99   63   89  151   46   51   57  114   128
14   75   95   44   84  147   33   66   69  117   141
15   90  112   52   72  156   37   63   96   92   142
16   94  103   68   98  162   37   66   98  115   147
17   95  104   74   72  135   58   97  115  124   140
18  107  142   77   99  153   44   67  106  142   146
19   93  131   88   77  156   53   72  119  108   128
20   87  134   83   66  167   52   87  149  106   133
21   81  125   82   75  160   74   88  114  100   114
22   96  101   91   54  152   67  106  132  104   142
23   81  111   83   71  122   68   90  110   63   123
24   90  102   74   61  108   62  113   94   99   126
25   79  109   94   87  101   80  103   95   89   140
26   67  100   70   68   85   78   92  112   79   119
27   68   83   90   70  100   76   94   94   87   115
28   89   85   69   71   52   52   72  104   83   113
29   68   98   86   62   68   75   91   86  103    88
30   71   49   76   73   61   81   83   89   89    69
31   56   82   70   79   46   92   77   64   82    57
32   60   60   60   76   44   85   86   76  103    55
33   51   53   69   71   40   75   62   71   92    65
34   61   45   80   88   28   80   58   63   77    53
35   49   65   75   78   26   96   49   44   62    57
36   63   56   58   79   22   93   55   61   55    32
37   47   57   77   57   14   88   50   62   48    33
38   71   58   73   65   17   99   48   53   61    23
39   58   31   47   61   12   78   60   41   59    15
40   58   45   63   61   14   77   43   44   47    14
41   35   26   62   72   14   93   35   35   48    20
42   48   21   63   60   13   97   23   32   38     8
43   48   25   54   69   16   89   17   20   28     4
44   41   18   38   38    8   98   19   29   31     5
45   39   25   35   53    9   88   21   20   36     2
46   40   18   48   40    7   66   19   14   35     7
47   34   23   33   27    6   63    9   18   30     3
48   25   24   26   33    5   72   13   27   21     8
49   40   13   24   28    8   73   11   23   24     3
50   32    7   27   19    4   61   13   23   26     2
51   28    4   18   19    7   63    4   31   16     4
52   32    6   12   18    1   27   15   27   20     1
53   18    8   12   31    2   37    4   30   17     4
54   24   13   10   17    7   20    3   20   10     2
55   30    8    8   16    2   23    5   18   11     3
56   23    4    2   23    1   30    5   18    7     2
57   26   16    6   17    0   13    4   12    4     1
58   27    7    9    7    1   21    1   10    8     0
59   29   11    3   15    2   16    2    8    5     0
60   17    4    5   11    0   12    1   11    3     0
61    9    9    5   12    1    6    3    7    6     0
62   11    4    6    7    1    8    0    3    6     0
63    8   11    3   10    1    3    0    7    1     0
64    8    8    2   11    0    5    0    1    1     0
65   11    3    0    6    0    2    0    2    0     0
66    7    4    0   13    0    8    0    7    1     0
67   12    5    0   13    0    6    0    0    0     0
68    9    3    0    8    0    6    0    0    0     0
69    8    3    0    8    0    4    0    2    0     0
70    4    4    0    5    0    2    0    2    0     0
71    4    1    0    1    0    1    0    3    0     0
72    3    2    0    2    0    1    0    2    0     0
73    5    2    0    2    0    0    0   10    0     0
74    6    0    0    2    0    0    0    3    0     0
75    1    0    0    2    0    0    0    9    0     0
76    6    0    0    4    0    0    0    4    0     0
77   11    0    0    5    0    0    0    0    0     0
78    2    0    0    2    0    0    0    3    0     0
79    4    0    0    8    0    0    0    2    0     0
80    0    0    0    3    0    0    0    1    0     0


